"ProcessId","ParentProcessId","Name","CommandLine"
"0","0","System Idle Process",
"4","0","System",
"272","4","Registry",
"812","4","smss.exe",
"1052","1044","csrss.exe",
"1160","1044","wininit.exe",
"1168","1152","csrss.exe",
"1248","1160","services.exe",
"1276","1152","winlogon.exe",
"1300","1160","lsass.exe",
"1476","1248","svchost.exe",
"1496","1248","WUDFHost.exe",
"1528","1276","fontdrvhost.exe",
"1536","1160","fontdrvhost.exe",
"1636","1248","svchost.exe",
"1684","1248","svchost.exe",
"1780","1276","dwm.exe",
"1864","1248","svchost.exe",
"1972","1248","svchost.exe",
"2008","1248","svchost.exe",
"2016","1248","svchost.exe",
"2024","1248","svchost.exe",
"780","1248","svchost.exe",
"1036","1248","svchost.exe",
"2076","1248","svchost.exe",
"2088","1248","svchost.exe",
"2108","1248","svchost.exe",
"2256","1248","svchost.exe",
"2440","1248","NVDisplay.Container.exe",
"2476","1248","svchost.exe",
"2548","1248","svchost.exe",
"2596","1248","svchost.exe",
"2672","2476","dasHost.exe",
"2688","1248","svchost.exe",
"2696","1248","svchost.exe",
"2704","1248","svchost.exe",
"2900","4","Memory Compression",
"2964","1248","svchost.exe",
"3016","1248","svchost.exe",
"3024","1248","svchost.exe",
"2272","1248","svchost.exe",
"3080","1248","svchost.exe",
"3136","1248","svchost.exe",
"3188","1248","svchost.exe",
"3192","1248","svchost.exe",
"3296","1248","svchost.exe",
"3372","1248","svchost.exe",
"3412","1248","svchost.exe",
"3568","1248","spoolsv.exe",
"3588","1248","svchost.exe",
"3604","1248","svchost.exe",
"3636","1248","svchost.exe",
"3808","1248","svchost.exe",
"3888","3080","audiodg.exe",
"3924","1248","svchost.exe",
"3944","1248","svchost.exe",
"4020","1248","svchost.exe",
"4264","1248","svchost.exe",
"4276","1248","Dynu.Service.exe",
"4296","1248","ElgatoLLMService.exe",
"4304","1248","svchost.exe",
"4312","1248","armsvc.exe",
"4340","1248","LightKeeperService.exe",
"4352","1248","GameInputRedistService.exe",
"4368","1248","svchost.exe",
"4376","1248","MSI_Case_Service.exe",
"4400","1248","logi_lamparray_service.exe",
"4412","1248","MpDefenderCoreService.exe",
"4428","1248","lghub_updater.exe",
"4444","1248","Mystic_Light_Service.exe",
"4456","1248","VoiceControl_Service.exe",
"4476","1248","WsNativePushService.exe",
"4484","1248","MSI_Central_Service.exe",
"4500","1248","MSI_Companion_Service.exe",
"4516","1248","nvcontainer.exe",
"4656","1248","svchost.exe",
"4672","1248","MsMpEng.exe",
"4736","1248","svchost.exe",
"4856","1248","svchost.exe",
"5248","2440","NVDisplay.Container.exe",
"5544","1248","svchost.exe",
"5772","1476","WmiPrvSE.exe",
"6344","1248","svchost.exe",
"7104","1476","WmiPrvSE.exe",
"3708","1248","svchost.exe",
"7660","4352","GameInputRedistService.exe","""C:\Program Files\Microsoft GameInput\x64\GameInputRedistService.exe"" /session=\\.\pipe\GameInputServiceSession-002facf70bbfd4f2-00000001"
"7836","1036","sihost.exe","sihost.exe"
"7880","1248","svchost.exe","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc"
"7928","1248","svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s webthreatdefusersvc"
"7996","1248","svchost.exe","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService"
"8084","1972","LEDKeeper2.exe",
"3368","1248","svchost.exe",
"7356","1972","taskhostw.exe","taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}"
"2396","1248","svchost.exe",
"8296","1248","gamingservices.exe",
"8324","1248","svchost.exe",
"8364","1248","gamingservicesnet.exe",
"8964","1248","svchost.exe",
"9144","9084","explorer.exe","C:\WINDOWS\Explorer.EXE"
"9172","7836","ShellHost.exe","""C:\Windows\System32\ShellHost.exe"""
"4248","1248","svchost.exe",
"8928","7836","CrossDeviceResume.exe","""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe"" /tileid MicrosoftWindows.Client.CBS_cw5n1h2txyewy!CrossDeviceResumeApp"
"7232","1248","svchost.exe",
"9464","1248","svchost.exe",
"9580","1248","svchost.exe","C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p -s cbdhsvc"
"9780","1248","svchost.exe",
"9888","1248","svchost.exe",
"9928","1248","svchost.exe",
"10372","1476","SearchHost.exe","""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe"" -ServerName:CortanaUI.AppXstmwaab17q5s3y22tp6apqz7a45vwv65.mca"
"10380","1476","StartMenuExperienceHost.exe","""C:\WINDOWS\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"" -ServerName:FullTrustApp.AppXykjsye98af63ez2annt9djke8trg8stn.mca"
"10596","1476","WidgetBoard.exe","""C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.1202.40.0_x64__cw5n1h2txyewy\WidgetBoard.exe"" -RegisterProcessAsComServer -ServerName:Microsoft.Windows.WidgetBoardServer"
"10768","1476","RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe -Embedding"
"10804","1248","svchost.exe","C:\WINDOWS\system32\svchost.exe -k UdkSvcGroup -s UdkUserSvc"
"10848","1248","svchost.exe",
"11216","1476","WidgetService.exe","""C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.14.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe"" -RegisterProcessAsComServer -Embedding"
"11284","1248","svchost.exe",
"11344","4484","MSI.CentralServer.exe",
"11416","1476","WmiPrvSE.exe",
"11456","4516","nvcontainer.exe",
"11572","11344","conhost.exe",
"11620","4516","nvcontainer.exe","""C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe"" -f ""C:\ProgramData\NVIDIA Corporation\NVIDIA App\NvContainer\NvContainerUser%d.log"" -d ""C:\Program Files\NVIDIA Corporation\NvContainer\plugins\User"" -r -l 3 -p 30000   -c"
